"订单编号","PID","交易时间","单项数量","单项金额","商品编号","商品名称","一级分类","二级分类","三级分类","门店名称","品牌"
2257163,"67790a3d-0459-48db-800c-807fc7ed6b0a",2019-05-25 08:15:49,1,3.5,"91000140","伊利低温纯牛奶180ml","奶制品","牛奶","低温牛奶","A","伊利"
2257210,"bcb57307-24f9-4c63-9fe1-3aacc20395c3",2019-05-25 08:16:44,1,5.5,"11000174","雀巢丝滑拿铁咖啡饮料268ml","饮料","即饮咖啡","即饮咖啡","B","雀巢咖啡"
2257316,"e577f90a-e0e9-4983-8aef-78af6d8c508e",2019-05-25 08:19:22,1,11,"99004162","N七度空间QSD8314少女系列超薄迷你棉柔卫生巾14片","个人清洁","卫生用品","卫生巾","A","七度空间"
2257636,"1f38d4da-639b-11e8-8674-0a58ac1303b3",2019-05-25 08:27:05,1,2,"18000144","*歆辰古法鸭翅原味25g","休闲零食","肉食小食","肉食小食","B","歆辰"
2257636,"1f38d4da-639b-11e8-8674-0a58ac1303b3",2019-05-25 08:27:05,1,6.5,"11000624","光明莫斯利安原味酸奶200ml","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","莫斯利安"
2257636,"1f38d4da-639b-11e8-8674-0a58ac1303b3",2019-05-25 08:27:05,1,14.9,"99002360","雪海梅乡台式话梅120g","休闲零食","凉果","凉果","B","雪海梅乡"
2257636,"1f38d4da-639b-11e8-8674-0a58ac1303b3",2019-05-25 08:27:05,1,6,"12000671","康师傅3+2苏打饼干(奶油)125g","休闲零食","饼干","饼干","B","康师傅3+2夹心"
2257636,"1f38d4da-639b-11e8-8674-0a58ac1303b3",2019-05-25 08:27:05,1,4,"30000168","N心相印XCB001洁肤独立湿巾10片","家用清洁","纸制品","湿巾纸","B","心相印"
2257636,"1f38d4da-639b-11e8-8674-0a58ac1303b3",2019-05-25 08:27:05,1,5.5,"99014172","统一汤达人海鲜拉面72g","方便速食","即食类主食","即食面类","B","汤达人"
2257636,"1f38d4da-639b-11e8-8674-0a58ac1303b3",2019-05-25 08:27:05,1,2.5,"17122922","口留乡手撕肉干(五香味)15g","休闲零食","肉食小食","肉食小食","B","口留乡"
2257653,"58bee279-6082-11e8-aa44-0a58ac13039c",2019-05-25 08:27:24,1,4,"11000171","泰山老八宝370g","方便速食","即食类主食","即食汤、粥类","A","泰山企业"
2257653,"58bee279-6082-11e8-aa44-0a58ac13039c",2019-05-25 08:27:24,1,3.8,"11000016","银鹭桂圆八宝粥(铁)360g","方便速食","即食类主食","即食汤、粥类","A","银鹭"
2257653,"58bee279-6082-11e8-aa44-0a58ac13039c",2019-05-25 08:27:24,1,2,"11000391","农夫山泉水550ml","饮料","包装水","包装水","A","农夫山泉"
